component,mode,iterations,warmup,seed,status,reason,measured_iterations,cold_start_ms,warm_start_p50_ms,warm_start_p95_ms,warm_start_p99_ms,mean_ms,std_ms,min_ms,max_ms,resource_profiling_status,resource_profiling_reason,process_cpu_percent_before,process_cpu_percent_after,rss_mb_before,rss_mb_after,memory_delta_mb
security_capabilities,local,5,1,7,measured,,5,0.0016,0.0003,0.00058,0.000596,0.0004,0.000126,0.0003,0.0006,skipped,psutil unavailable,,,,,
identity_security,local,5,1,7,measured,,5,0.01,0.0018,0.0029,0.00306,0.0021,0.000518,0.0017,0.0031,skipped,psutil unavailable,,,,,
consensus_security,local,5,1,7,measured,,5,0.0011,0.0003,0.00038,0.000396,0.00028,7.5e-05,0.0002,0.0004,skipped,psutil unavailable,,,,,
pedersen_privacy,local,5,1,7,measured,,5,0.001,0.0002,0.00028,0.000296,0.00018,7.5e-05,0.0001,0.0003,skipped,psutil unavailable,,,,,
reviewer_audit,local,5,1,7,measured,,5,0.0011,0.0002,0.0002,0.0002,0.0002,0.0,0.0002,0.0002,skipped,psutil unavailable,,,,,
blockchain_append_validate,local,5,1,7,measured,,5,297.9069,804.7759,1042.18884,1062.339368,814.26474,177.445299,564.2093,1067.377,skipped,psutil unavailable,,,,,
fl_validation,local,5,1,7,measured,,5,0.0027,0.0004,0.00074,0.000788,0.00046,0.000185,0.0003,0.0008,skipped,psutil unavailable,,,,,
