component,mode,iterations,warmup,seed,status,reason,cold_start_ms,warm_start_p50_ms,warm_start_p95_ms,warm_start_p99_ms,mean_ms,std_ms,min_ms,max_ms
security_capabilities,local,5,1,7,measured,,0.0016,0.0003,0.00074,0.000788,0.00044,0.000196,0.0003,0.0008
identity_security,local,5,1,7,measured,,0.0095,0.0015,0.0023,0.00238,0.0017,0.000405,0.0013,0.0024
consensus_security,local,5,1,7,measured,,0.0011,0.0003,0.00038,0.000396,0.00028,7.5e-05,0.0002,0.0004
pedersen_privacy,local,5,1,7,measured,,0.0009,0.0002,0.00028,0.000296,0.0002,6.3e-05,0.0001,0.0003
reviewer_audit,local,5,1,7,measured,,0.0011,0.0002,0.0002,0.0002,0.00018,4e-05,0.0001,0.0002
blockchain_append_validate,local,5,1,7,measured,,295.7526,790.9525,1066.89442,1093.523924,811.19054,190.812145,558.3535,1100.1813
fl_validation,local,5,1,7,measured,,0.003,0.0004,0.00074,0.000788,0.00046,0.000185,0.0003,0.0008
